address,date,district,price,project,server,source,spider,subdistrict,title,url
 三和花园 - 静安寺二手房出售 -延平路123弄,20180203120136,静安,820 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/jingansi/o2/,ganji,静安寺,"房东急售!处置,无读书!到价即签!!",http://sh.ganji.com/fang5/2866767673x.htm
古柏小区- 静安寺二手房出售 ,20180203120136,静安,350 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/jingansi/o2/,ganji,静安寺,"使用权一楼送天井,次沿街,房东出国低售",http://sh.ganji.com/fang5/2857399818x.htm
皇家公寓- 静安寺二手房出售 ,20180203120136,静安,1350 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/jingansi/o2/,ganji,静安寺,静安-静安寺皇家公寓,http://sh.ganji.com/fang5/2882266729x.htm
绿杨村- 静安寺二手房出售 ,20180203120136,静安,450 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/jingansi/o2/,ganji,静安寺,静安-静安寺绿杨村,http://sh.ganji.com/fang5/2849103393x.htm
 愚园坊 - 静安寺二手房出售 -愚园路483弄,20180203120136,静安,2100 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/jingansi/o2/,ganji,静安寺,静安愚园+整栋花园洋房+诚意出售高性价比,http://sh.ganji.com/fang5/2885780899x.htm
 华园 - 静安寺二手房出售 -长宁区万航渡路540号,20180203120136,静安,1000 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/jingansi/o2/,ganji,静安寺,"传世之作尊贵领地:古北家乐福旁,新开70年产权一手住房华园",http://sh.ganji.com/fang5/2987557016x.htm
 莘城苑 - 莘庄二手房出售 -疏影路1111弄,20180203120203,闵行,305 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o3/,ganji,莘庄,好好好莘城苑82平大两房位置楼层好价格空间大好看房,http://sh.ganji.com/fang5/2917325634x.htm
 莘映象林水美... - 莘庄二手房出售 -疏影路1188弄,20180203120203,闵行,510 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o3/,ganji,莘庄,经典南北电梯两房，户型好，采光好，自住精装，业主急售,http://sh.ganji.com/fang5/2998599368x.htm
 莘怡公寓 - 莘庄二手房出售 -莘东路498弄,20180203120203,闵行,77 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o3/,ganji,莘庄,首付29万入住莘庄地铁旁+精装修挑高5.4米+配套成熟送车位,http://sh.ganji.com/fang5/2921899360x.htm
 荣盛名邸(公... - 莘庄二手房出售 -莘松路1500弄,20180203120203,闵行,300 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o3/,ganji,莘庄,小区中心位置南北通透客厅带阳台高绿化小区近莘庄地铁站,http://sh.ganji.com/fang5/3011709872x.htm
 莘松三村 - 莘庄二手房出售 -莘沥路363弄,20180203120203,闵行,325 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o3/,ganji,莘庄,莘松三村快！闵行实验小学总价低一房有户口,http://sh.ganji.com/fang5/2968000733x.htm
 莘松九村 - 莘庄二手房出售 -莘东路373弄,20180203120203,闵行,340 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o3/,ganji,莘庄,实小位置好房型正气一梯两户精装修全送全明急售看房随时,http://sh.ganji.com/fang5/2885128264x.htm
 莘松五村 - 莘庄二手房出售 -莘沥路499弄,20180203120203,闵行,320 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o3/,ganji,莘庄,对口莘松中学+边套舒适楼层南北通两房房+接受置换！,http://sh.ganji.com/fang5/2945187422x.htm
 上海康城 - 莘庄二手房出售 -莘松路958弄,20180203120203,闵行,450 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o3/,ganji,莘庄,南北通大三房，精装修，近菜市公交站,http://sh.ganji.com/fang5/2991244442x.htm
 金城绿苑(公... - 莘庄二手房出售 -莘北路398弄,20180203120203,闵行,400 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o3/,ganji,莘庄,莘庄板块96年外销房环境优美房东诚意出售,http://sh.ganji.com/fang5/2972921945x.htm
 香树丽舍 - 莘庄二手房出售 -水清路999弄,20180203120203,闵行,550 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o3/,ganji,莘庄,南北通透户型整齐得房率配套设施完善豪装看房随时,http://sh.ganji.com/fang5/2962992575x.htm
 莘松七村 - 莘庄二手房出售 -莘沥路512弄,20180203120203,闵行,268 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o3/,ganji,莘庄,婚房装修拎包入住看房方便产权清晰业主出售意愿强,http://sh.ganji.com/fang5/2909913193x.htm
 上海康城 - 莘庄二手房出售 -莘松路958弄,20180203120203,闵行,438 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o3/,ganji,莘庄,靠近莘庄450万以内的电梯三房，你得加快速度了，我怕留不住！,http://sh.ganji.com/fang5/2917280316x.htm
 莘浜路351... - 莘庄二手房出售 -莘浜路351弄,20180203120203,闵行,265 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o3/,ganji,莘庄,地段繁华，出门莘庄镇小，近龙之梦地铁，楼层好，精装修，有钥匙,http://sh.ganji.com/fang5/2901786798x.htm
