address,date,district,price,project,server,source,spider,subdistrict,title,url
 辽源三村 - 周家嘴路二手房出售 -许昌路1487弄,20180202015417,杨浦,260 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/yangpuzhoujiazuilu/o2/,ganji,周家嘴路,近地铁8号线鞍山新村站300米，南北直通，保养好，视野好。,http://sh.ganji.com/fang5/2995196312x.htm
 辽源公寓 - 周家嘴路二手房出售 -辽源西路300弄1-...,20180202015417,杨浦,338 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/yangpuzhoujiazuilu/o2/,ganji,周家嘴路,近地铁8号线鞍山新村站，南北直通，保养好，视野好。,http://sh.ganji.com/fang5/2908834002x.htm
 辽源一村 - 周家嘴路二手房出售 -辽源西路190弄,20180202015417,杨浦,325 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/yangpuzhoujiazuilu/o2/,ganji,周家嘴路,辽源一村东三墙全明满五唯一拎包入住看房随时方便！,http://sh.ganji.com/fang5/2919469881x.htm
 富天苑 - 周家嘴路二手房出售 -周家嘴路3118弄,20180202015417,杨浦,699 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/yangpuzhoujiazuilu/o2/,ganji,周家嘴路,次新小区，精装三房，房型正气，南北通透，看房提前约！,http://sh.ganji.com/fang5/3010424528x.htm
 上海大花园 - 周家嘴路二手房出售 -周家嘴路1299弄,20180202015417,杨浦,1150 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/yangpuzhoujiazuilu/o2/,ganji,周家嘴路,上海大花园精装修的三房，南北通户型双阳台，中间楼层，采光好,http://sh.ganji.com/fang5/2911009009x.htm
 合生高尔夫公... - 周家嘴路二手房出售 -许昌路1128弄,20180202015417,杨浦,750 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/yangpuzhoujiazuilu/o2/,ganji,周家嘴路,老业主委拖两年前70豪装小区靠花园位置，接受半年置换！！,http://sh.ganji.com/fang5/2912605420x.htm
 大连路118... - 周家嘴路二手房出售 -大连路1188弄1-...,20180202015417,杨浦,330 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/yangpuzhoujiazuilu/o2/,ganji,周家嘴路,大连路1188弄小区47.85平米330.0万元,http://sh.ganji.com/fang5/2992633571x.htm
 晋福里 - 周家嘴路二手房出售 -巨鹿路181弄1～4...,20180202015417,杨浦,138 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/yangpuzhoujiazuilu/o2/,ganji,周家嘴路,首付25万落户大上海70年产权精装修有产证送产权车位房东急售,http://sh.ganji.com/fang5/2926888759x.htm
友谊新村(杨...- 周家嘴路二手房出售 -辽源东路30弄,20180202015417,杨浦,180 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/yangpuzhoujiazuilu/o2/,ganji,周家嘴路,总价低1987原建随时看房价格真实这价格只卖3天,http://sh.ganji.com/fang5/2924498008x.htm
 长白三村 - 周家嘴路二手房出售 -长白三村1-125号,20180202015417,杨浦,170 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/yangpuzhoujiazuilu/o2/,ganji,周家嘴路,长白三村，一步到家，一步出行，精英幼儿教育，地价精装好房,http://sh.ganji.com/fang5/2919426469x.htm
